Name,Link,Founded,Based in,Website,Company Status,LinkedIn
TRAKKER,https://www.eu-startups.com/directory/trakker/,2025,Berlin,https://trakker.tech/,Active,https://www.linkedin.com/company/trakker/
Alon Health,https://www.eu-startups.com/directory/alon-health/,2023,Berlin,https://alonhealth.com/,Active,https://www.linkedin.com/company/alonhealth/about/
Alithea Biotechnology,https://www.eu-startups.com/directory/alithea-biotechnology/,2023,Freiburg,https://alithea-bio.com/,Active,https://www.linkedin.com/company/alithea-bio/
topshelf,https://www.eu-startups.com/directory/topshelf/,2023,Berlin,https://www.jointopshelf.com/,Active,https://www.linkedin.com/company/topshelf-app/about/
clearlea.se,https://www.eu-startups.com/directory/clearlease/,2023,Berlin,https://www.clearlea.se/,Active,https://www.linkedin.com/company/clearlease/
CinSOIL,https://www.eu-startups.com/directory/cinsoil/,2024,Berlin,https://cinsoil.eu/,Active,https://www.linkedin.com/company/cinsoil/
DATFID,https://www.eu-startups.com/directory/datfid/,2024,München,https://covelant.com/,Active,https://www.linkedin.com/company/datfid/
Basec,https://www.eu-startups.com/directory/basec/,2022,Deidesheim,https://basec.de,Active,https://www.linkedin.com/company/basec-gmbh/about/
Ailoys,https://www.eu-startups.com/directory/ailoys/,2024,Berlin,https://www.ailoys.com/,Active,https://www.linkedin.com/company/ailoys/
QuSine,https://www.eu-startups.com/directory/qusine/,2024,Potsdam,https://qusine.com/,Active,https://www.linkedin.com/company/qusinus/
SmartSylvan,https://www.eu-startups.com/directory/smartsylvan/,2024,Düsseldorf,https://www.smartsylvan.de/,Active,https://www.linkedin.com/company/smartsylvan/
prosperly,https://www.eu-startups.com/directory/prosperly/,2024,Berlin,https://www.prosperly.de/en,Active,https://www.linkedin.com/company/prosperlygermany/
Glokal AI,https://www.eu-startups.com/directory/glokal-ai/,2024,Berlin,https://www.glokalai.com/,Active,https://www.linkedin.com/company/glokal-ai/
FizzyFort,https://www.eu-startups.com/directory/fizzyfort/,2024,Berlin,https://fizzyfort.com,Active,https://www.linkedin.com/company/fizzyfort/
TAG Capital,https://www.eu-startups.com/directory/tag-capital/,2024,Berlin,https://tagcapital.org,Active,https://www.linkedin.com/company/trustanalysegrow/
EssNetz,https://www.eu-startups.com/directory/essnetz/,2024,Mülheim-Kärlich,https://essnetz.com,Active,https://www.linkedin.com/company/essnetz/
Breathment,https://www.eu-startups.com/directory/breathment/,2022,Munich,https://breathment.com,Active,https://www.linkedin.com/company/breathment/about/
Machador,https://www.eu-startups.com/directory/machador/,2025,Wiesbaden,https://www.machador.de/,Active,https://www.linkedin.com/company/machador/
Nala AI,https://www.eu-startups.com/directory/nala-ai/,2025,Belum,https://wilde-natur.org/flunaki/,Active,https://www.linkedin.com/company/wilde-natur/
GrofleX Technologies,https://www.eu-startups.com/directory/groflex-technologies/,2024,Düsseldorf,https://www.groflex.ai,Active,https://www.linkedin.com/company/groflexai/
MIRA vision,https://www.eu-startups.com/directory/mira-vision/,2021,Göppingen,https://www.mira.vision,Active,https://www.linkedin.com/company/miravision-group/
match.care,https://www.eu-startups.com/directory/match.care,2021,Berlin,https://www.match.care/,Active,https://www.linkedin.com/company/match-care/
FinancialReports,https://www.eu-startups.com/directory/financialreports/,2022,Cologne,https://financialreports.eu,Active,https://www.linkedin.com/company/84158884/
ally bc GmbH,https://www.eu-startups.com/directory/ally-bc-gmbh/,2023,Frankfurt,www.allybc.de,Active,https://www.linkedin.com/company/100089794/
Aiomics,https://www.eu-startups.com/directory/aiomics/,2024,Berlin,https://www.aiomics.io,Active,https://www.linkedin.com/company/aiomics/
Minutes 90,https://www.eu-startups.com/directory/minutes-90/,2024,Buchloe,https://www.minutes90.com/en,Active,
Papersend,https://www.eu-startups.com/directory/papersend/,2024,Munich,https://papersend.io/,Active,
Bonscore,https://www.eu-startups.com/directory/bonscore/,2024,Berlin,https://bonscore.org/,Active,
JustCMS,https://www.eu-startups.com/directory/justcms/,2024,Berlin,https://justcms.co/,Active,
coding-colleagues,https://www.eu-startups.com/directory/coding-colleagues/,2022,Frankfurt,coding-colleagues.de,Active,
Alpha Sophia Technologies,https://www.eu-startups.com/directory/alpha-sophia-technologies/,2022,Cologne,https://www.alphasophia.com/,Active,https://www.linkedin.com/company/alphasophia
Pexana,https://www.eu-startups.com/directory/pexana/,2024,Berlin,https://pexana.com,Active,https://www.linkedin.com/company/pexana
CADAICO,https://www.eu-startups.com/directory/cadaico/,2023,Stuttgart,https://www.cadai.co/,Active,https://www.linkedin.com/company/cadaico/
Sleak AI,https://www.eu-startups.com/directory/sleak-ai/,2024,Munich,sleak.ai,Active,https://www.linkedin.com/company/sleak-ai
OilMetricsAPI,https://www.eu-startups.com/directory/oilmetricsapi/,2024,Berlin,https://www.oilmetricsapi.com/,Active,
Sparrow Networks GmbH,https://www.eu-startups.com/directory/sparrow-networks-gmbh/,2019,Berlin,https://www.sparrow.parts/,Active,https://www.linkedin.com/company/sparrow-networks-gmbh/
colormass GmbH,https://www.eu-startups.com/directory/colormass-gmbh/,2016,Berlin,colormass.com,Active,https://www.linkedin.com/company/colormass
Explain.Codes,https://www.eu-startups.com/directory/explaincodes/,2024,London,https://explain.codes/,Active,
ad:personam Gmbh,https://www.eu-startups.com/directory/adpersonam-gmbh/,2021,Hamburg,https://www.adpersonam.io/,Active,https://www.linkedin.com/company/adpersonamhq
Xplain Data GmbH,https://www.eu-startups.com/directory/xplain-data-gmbh/,2015,Zorneding,xplain-data.com,Active,https://www.linkedin.com/company/xplain-data-gmbh
CONSUST GmbH,https://www.eu-startups.com/directory/consust-gmbh/,2022,Verl,https://consust.de/,Active,https://www.linkedin.com/company/consust-gmbh/
Chatwith,https://www.eu-startups.com/directory/chatwith/,2023,Berlin,https://chatwith.tools,Active,https://www.linkedin.com/showcase/chatwith-ai
ReductStore,https://www.eu-startups.com/directory/reductstore/,2024,Hamburg,https://www.reduct.store,Active,https://www.linkedin.com/company/reductstore
ACE Alternatives GmbH,https://www.eu-startups.com/directory/ace-alternatives-gmbh/,2021,Berlin,www.ace-alternatives.com,Active,https://www.linkedin.com/company/ace-alternatives/
Hyperaktiv,https://www.eu-startups.com/directory/hyperaktiv/,2022,Berlin,https://www.hyperaktiv.ai/,Active,https://www.linkedin.com/company/ai-hyperaktiv/
Turbular UG (haftungsbeschränkt),https://www.eu-startups.com/directory/turbular-ug-haftungsbeschrankt/,2024,Bad Homburg,www.turbular.com,Active,
Embeddable,https://www.eu-startups.com/directory/embeddable/,2024,Berlin,https://embeddable.com,Active,https://www.linkedin.com/in/thomasandrewgardiner/
Belle Health AI Technologies LTD,https://www.eu-startups.com/directory/belle-health-ai-technologies-ltd/,2024,Munich,https://bellehealth.co/about-us/,Active,https://www.linkedin.com/company/yourbellehealth/?viewAsMember=true
Tagesgeld-Überblick,https://www.eu-startups.com/directory/tagesgeld-uberblick/,2023,Münster,https://tagesgeld-ueberblick.de/,Active,
